City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Togur,RU,2020-04-14 01:52:51,58.36,82.83,39.9,84,27,3.13
70,Nago,JP,2020-04-14 01:52:51,26.59,127.98,66.2,48,20,6.93
71,San Cristobal,VE,2020-04-14 01:52:53,7.77,-72.22,69.22,56,37,0.98
72,Dauphin,CA,2020-04-14 01:50:27,51.15,-100.05,15.46,92,100,5.28
73,Walvis Bay,NA,2020-04-14 01:52:54,-22.96,14.51,57.99,82,0,4.7
74,Puerto Ayora,EC,2020-04-14 01:52:54,-0.74,-90.35,79.0,91,100,1.99
75,Constitucion,CL,2020-04-14 01:49:33,-35.33,-72.42,56.08,49,76,7.78
76,Lebyazhye,RU,2020-04-14 01:52:56,55.27,66.49,40.73,66,30,13.15
77,Saldanha,ZA,2020-04-14 01:52:57,-33.01,17.94,55.4,87,0,3.36
78,Kupang,ID,2020-04-14 01:52:58,-10.17,123.58,87.8,70,20,1.12
79,Bella Vista,US,2020-04-14 01:52:58,36.43,-94.23,41.0,51,90,10.29
80,Aklavik,CA,2020-04-14 01:52:58,68.22,-135.01,30.2,92,90,8.05
81,Sitka,US,2020-04-14 01:52:59,57.05,-135.33,44.6,100,90,8.05
82,Korla,CN,2020-04-14 01:52:59,41.76,86.15,71.71,14,77,7.23
83,Cape Town,ZA,2020-04-14 01:50:01,-33.93,18.42,55.99,93,20,3.36
84,Georgetown,MY,2020-04-14 01:45:27,5.41,100.34,84.2,74,20,6.93
85,Saint-Philippe,RE,2020-04-14 01:53:00,-21.36,55.77,75.2,78,2,4.7
86,Qaanaaq,GL,2020-04-14 01:53:01,77.48,-69.36,21.29,94,100,2.24
87,Rio Gallegos,AR,2020-04-14 01:48:35,-51.62,-69.22,46.4,70,36,9.17
88,Guaruja,BR,2020-04-14 01:53:06,-23.99,-46.26,73.0,82,75,4.7
89,Carnarvon,AU,2020-04-14 01:53:06,-24.87,113.63,77.0,78,51,16.11
90,Pryazha,RU,2020-04-14 01:53:06,61.69,33.62,33.8,97,70,2.24
91,Lucapa,AO,2020-04-14 01:53:07,-8.42,20.74,64.96,74,49,0.87
92,Prince Rupert,CA,2020-04-14 01:53:08,54.32,-130.32,48.2,70,90,1.34
93,Salalah,OM,2020-04-14 01:53:08,17.02,54.09,80.6,74,40,6.93
94,Klaksvik,FO,2020-04-14 01:53:09,62.23,-6.59,44.6,87,100,12.75
95,Touros,BR,2020-04-14 01:53:10,-5.2,-35.46,78.8,88,87,4.7
96,Carson City,US,2020-04-14 01:52:51,39.16,-119.77,53.6,9,1,14.99
97,Naze,JP,2020-04-14 01:53:10,28.37,129.48,68.0,45,75,21.92
98,Port Hardy,CA,2020-04-14 01:53:12,50.7,-127.42,57.2,24,75,16.11
99,Honiara,SB,2020-04-14 01:52:29,-9.43,159.95,89.6,70,75,9.17
100,Caucaia,BR,2020-04-14 01:53:12,-3.74,-38.65,82.99,83,20,2.24
101,Nicoya,CR,2020-04-14 01:53:13,10.15,-85.45,73.0,88,100,15.01
102,Kazachinskoye,RU,2020-04-14 01:53:14,57.7,93.28,47.05,59,0,9.08
103,Lobito,AO,2020-04-14 01:53:15,-12.35,13.55,77.14,82,36,2.51
104,Baoying,CN,2020-04-14 01:53:15,33.23,119.31,66.27,43,100,7.9
105,Broken Hill,AU,2020-04-14 01:53:16,-31.95,141.43,71.6,28,0,10.29
106,Mayumba,GA,2020-04-14 01:53:16,-3.43,10.66,79.11,85,93,5.44
107,Bloomington,US,2020-04-14 01:52:23,44.84,-93.3,30.2,46,40,16.11
108,Labuan,MY,2020-04-14 01:53:17,5.28,115.24,87.8,79,75,3.36
109,Acapulco,MX,2020-04-14 01:44:51,16.86,-99.89,78.8,83,40,8.05
110,Hermanus,ZA,2020-04-14 01:53:19,-34.42,19.23,55.99,89,0,1.99
111,Severo-Kurilsk,RU,2020-04-14 01:53:19,50.68,156.12,30.79,94,89,5.73
112,Saint George,US,2020-04-14 01:51:45,37.1,-113.58,64.4,15,1,17.22
113,Samfya,ZM,2020-04-14 01:53:20,-11.36,29.56,62.47,68,28,3.67
114,Mar Del Plata,AR,2020-04-14 01:52:18,-38.0,-57.56,59.0,76,90,8.05
115,Kodiak,US,2020-04-14 01:53:21,57.79,-152.41,41.0,86,90,9.17
116,Cape Coast,GH,2020-04-14 01:51:59,5.11,-1.25,80.82,85,50,6.4
117,Bell Ville,AR,2020-04-14 01:53:22,-32.63,-62.69,51.01,92,0,1.01
118,De-Kastri,RU,2020-04-14 01:53:23,51.47,140.78,35.22,85,100,10.69
119,Saskylakh,RU,2020-04-14 01:48:09,71.92,114.08,20.68,96,100,6.89
120,Mahebourg,MU,2020-04-14 01:53:24,-20.41,57.7,77.0,78,40,10.29
121,Novyy Urengoy,RU,2020-04-14 01:53:24,66.08,76.63,20.86,97,93,11.34
122,Ahipara,NZ,2020-04-14 01:53:25,-35.17,173.17,63.27,63,39,23.49
123,Vostok,RU,2020-04-14 01:53:25,46.49,135.88,52.59,34,97,12.88
124,Rocha,UY,2020-04-14 01:48:27,-34.48,-54.33,60.66,94,100,4.68
125,The Valley,AI,2020-04-14 01:53:27,18.22,-63.06,80.6,78,40,8.05
126,Kimbe,PG,2020-04-14 01:53:28,-5.55,150.14,85.06,77,85,5.41
127,Los Llanos De Aridane,ES,2020-04-14 01:51:51,28.66,-17.92,62.6,72,1,6.93
128,Dharur,IN,2020-04-14 01:53:30,18.82,76.12,89.82,15,1,6.22
129,Tucuma,BR,2020-04-14 01:53:30,-0.18,-50.05,74.3,91,84,6.13
130,Port Macquarie,AU,2020-04-14 01:53:31,-31.43,152.92,78.01,60,0,5.82
131,San Patricio,MX,2020-04-14 01:53:32,19.22,-104.7,75.2,78,40,10.2
132,Abeche,TD,2020-04-14 01:53:32,13.83,20.83,74.57,15,73,14.36
133,Bethanien,NA,2020-04-14 01:53:33,-26.5,17.16,49.1,43,0,4.7
134,Strezhevoy,RU,2020-04-14 01:53:34,60.73,77.59,37.4,55,100,6.71
135,Saint-Louis,SN,2020-04-14 01:53:34,16.33,-15.0,77.2,36,90,10.27
136,Tiksi,RU,2020-04-14 01:53:35,71.69,128.87,3.06,88,5,5.64
137,East London,ZA,2020-04-14 01:53:35,-33.02,27.91,66.2,74,100,10.04
138,Souillac,MU,2020-04-14 01:53:36,-20.52,57.52,77.0,78,40,10.29
139,Provideniya,RU,2020-04-14 01:53:36,64.38,-173.3,32.0,95,75,4.47
140,Kokopo,PG,2020-04-14 01:53:37,-4.35,152.26,83.98,74,95,2.73
141,Nouadhibou,MR,2020-04-14 01:53:39,20.93,-17.03,64.4,72,10,14.99
142,Deer Lake,CA,2020-04-14 01:53:41,49.17,-57.43,41.0,65,90,4.7
143,Bow Island,CA,2020-04-14 01:53:42,49.87,-111.37,35.6,27,40,13.87
144,Am Timan,TD,2020-04-14 01:53:42,11.03,20.28,80.4,14,25,5.12
145,Grindavik,IS,2020-04-14 01:53:43,63.84,-22.43,39.2,70,75,28.86
146,Bairiki,KI,2020-04-14 01:53:43,1.33,172.98,87.8,70,40,13.87
147,Sioux Lookout,CA,2020-04-14 01:53:44,50.1,-91.92,21.2,73,75,11.41
148,Bambous Virieux,MU,2020-04-14 01:53:44,-20.34,57.76,77.0,78,40,10.29
149,Sironj,IN,2020-04-14 01:53:45,24.1,77.7,92.66,14,59,1.45
150,Ransang,PH,2020-04-14 01:53:45,8.96,117.58,83.71,64,44,5.06
151,Bocaiuva,BR,2020-04-14 01:53:46,-17.11,-43.81,66.34,74,6,5.77
152,Ribeira Grande,PT,2020-04-14 01:53:46,38.52,-28.7,59.7,78,19,8.05
153,La Union,PE,2020-04-14 01:53:46,-5.4,-80.75,76.48,68,50,9.44
154,Quatre Cocos,MU,2020-04-14 01:53:46,-20.21,57.76,77.0,78,40,10.29
155,Harboore,DK,2020-04-14 01:52:38,56.62,8.18,39.0,80,44,6.93
156,Zaragoza,ES,2020-04-14 01:53:47,41.66,-0.88,54.0,87,40,2.24
157,Yoichi,JP,2020-04-14 01:53:48,43.2,140.77,50.0,42,20,16.11
158,Saint-Pierre,RE,2020-04-14 01:53:49,-21.34,55.48,75.2,78,4,4.7
159,Airai,TL,2020-04-14 01:53:49,-8.93,125.41,69.17,69,87,2.39
160,Castro,BR,2020-04-14 01:50:34,-24.79,-50.01,57.07,67,100,4.25
161,Rincon,US,2020-04-14 01:48:57,32.3,-81.24,73.99,73,75,9.17
162,Shingu,JP,2020-04-14 01:53:51,33.73,135.98,53.6,46,20,25.28
163,Calvinia,ZA,2020-04-14 01:53:51,-31.47,19.78,45.81,62,1,5.84
164,Chara,RU,2020-04-14 01:53:52,56.91,118.26,31.69,66,3,2.1
165,Faya,SA,2020-04-14 01:53:52,18.39,42.45,62.6,87,40,9.17
166,Riyadh,SA,2020-04-14 01:51:23,24.69,46.72,59.0,67,0,2.24
167,Lithakia,GR,2020-04-14 01:53:54,37.72,20.83,53.01,87,29,3.36
168,Semporna,MY,2020-04-14 01:53:54,4.48,118.61,86.0,74,20,4.7
169,Poum,NC,2020-04-14 01:53:55,-20.23,164.02,79.99,76,100,7.96
170,Faanui,PF,2020-04-14 01:53:56,-16.48,-151.75,83.28,70,25,8.19
171,Moses Lake,US,2020-04-14 01:53:59,47.13,-119.28,62.6,9,1,5.82
172,Kirakira,SB,2020-04-14 01:53:59,-10.45,161.92,85.96,71,100,8.32
173,Yarim,YE,2020-04-14 01:54:00,14.3,44.38,57.15,42,96,2.53
174,Berlevag,NO,2020-04-14 01:54:01,70.86,29.09,33.94,90,98,14.12
175,Sorong,ID,2020-04-14 01:54:01,-0.88,131.25,85.96,71,96,3.69
176,Ornskoldsvik,SE,2020-04-14 01:54:02,63.29,18.72,35.6,51,29,18.34
177,Makakilo City,US,2020-04-14 01:54:02,21.35,-158.09,84.2,83,90,7.31
178,Clyde River,CA,2020-04-14 01:54:03,70.47,-68.59,10.4,85,90,13.87
179,Artyom,AZ,2020-04-14 01:54:03,40.47,50.33,50.0,76,75,11.41
180,Upernavik,GL,2020-04-14 01:54:04,72.79,-56.15,28.02,95,100,10.11
181,Ayan,RU,2020-04-14 01:54:05,56.45,138.17,33.66,85,0,4.21
182,Kinsale,IE,2020-04-14 01:54:05,51.71,-8.53,39.99,82,20,5.82
183,Cockburn Town,TC,2020-04-14 01:54:06,21.46,-71.14,78.69,83,7,23.35
184,Scottsboro,US,2020-04-14 01:54:06,34.67,-86.03,51.01,76,90,6.93
185,Maniwaki,CA,2020-04-14 01:54:10,46.38,-75.97,33.8,82,63,14.07
186,Teya,RU,2020-04-14 01:54:10,60.38,92.63,43.75,69,7,2.46
187,Hasaki,JP,2020-04-14 01:54:11,35.73,140.83,59.0,43,20,14.99
188,Papenburg,DE,2020-04-14 01:54:11,53.07,7.4,41.0,75,90,5.82
189,Hofn,IS,2020-04-14 01:54:12,64.25,-15.21,39.09,70,92,20.31
190,Dwarka,IN,2020-04-14 01:54:12,22.24,68.97,80.4,72,96,9.57
191,Dongsheng,CN,2020-04-14 01:54:13,39.82,109.98,57.58,20,35,4.92
192,Norman Wells,CA,2020-04-14 01:54:14,65.28,-126.83,39.2,44,90,3.36
193,Gat,IL,2020-04-14 01:54:15,31.61,34.76,60.8,82,75,2.24
194,Caravelas,BR,2020-04-14 01:54:15,-17.71,-39.25,76.87,83,80,15.43
195,Bathsheba,BB,2020-04-14 01:54:16,13.22,-59.52,78.8,74,20,11.41
196,Irbeyskoye,RU,2020-04-14 01:54:16,55.64,95.45,49.32,42,0,11.92
197,Rio Grande,BR,2020-04-14 01:53:59,-32.03,-52.1,68.0,87,100,1.01
198,Yumen,CN,2020-04-14 01:54:17,40.28,97.2,67.05,12,93,6.02
199,Coquimbo,CL,2020-04-14 01:54:18,-29.95,-71.34,59.0,82,30,5.82
200,Dikson,RU,2020-04-14 01:54:18,73.51,80.55,3.76,94,65,6.08
201,Sao Joao Da Barra,BR,2020-04-14 01:54:19,-21.64,-41.05,73.29,71,45,8.19
202,Alice Springs,AU,2020-04-14 01:54:20,-23.7,133.88,78.8,19,54,8.05
203,Junin,AR,2020-04-14 01:53:49,-34.58,-60.94,48.99,95,0,1.01
204,Cabo San Lucas,MX,2020-04-14 01:49:25,22.89,-109.91,73.99,49,40,13.87
205,Cairns,AU,2020-04-14 01:51:11,-16.92,145.77,88.0,55,40,16.11
206,Arraial Do Cabo,BR,2020-04-14 01:51:53,-22.97,-42.03,74.28,70,87,16.44
207,San Quintin,MX,2020-04-14 01:54:22,30.48,-115.95,58.87,78,26,16.71
208,Beisfjord,NO,2020-04-14 01:54:24,68.38,17.6,32.0,93,95,5.82
209,Russell,US,2020-04-14 01:54:25,32.35,-85.2,66.0,82,1,6.67
210,Olafsvik,IS,2020-04-14 01:54:25,64.89,-23.71,39.16,72,46,40.4
211,Bowen,AU,2020-04-14 01:54:26,-20.02,148.23,84.2,54,9,20.8
212,Vardo,NO,2020-04-14 01:54:26,70.37,31.11,34.27,95,100,14.72
213,Yaring,TH,2020-04-14 01:54:26,6.87,101.37,82.4,78,20,6.93
214,Paita,PE,2020-04-14 01:54:27,-5.09,-81.11,74.93,71,68,6.91
215,Lagoa,PT,2020-04-14 01:54:27,39.05,-27.98,59.65,80,84,10.69
216,Marietta,US,2020-04-14 01:51:18,33.95,-84.55,64.4,72,20,10.29
217,Fare,PF,2020-04-14 01:54:29,-16.7,-151.02,83.86,65,1,5.19
218,Bingol,TR,2020-04-14 01:54:29,38.88,40.49,38.91,40,0,3.83
219,Charters Towers,AU,2020-04-14 01:54:19,-20.1,146.27,85.66,42,8,11.59
220,Ilovlya,RU,2020-04-14 01:54:30,49.3,43.98,35.6,59,50,8.95
221,Yellowknife,CA,2020-04-14 01:48:12,62.46,-114.35,26.6,38,20,10.29
222,Sambava,MG,2020-04-14 01:54:31,-14.27,50.17,73.72,90,91,7.23
223,Pringsewu,ID,2020-04-14 01:54:31,-5.36,104.97,87.33,63,48,1.32
224,Pevek,RU,2020-04-14 01:54:31,69.7,170.31,9.7,92,52,4.65
225,Tadine,NC,2020-04-14 01:54:32,-21.55,167.88,79.92,72,100,14.05
226,Muravlenko,RU,2020-04-14 01:54:35,63.79,74.52,33.01,96,100,9.51
227,Noumea,NC,2020-04-14 01:53:22,-22.28,166.46,86.0,62,40,13.87
228,Camacha,PT,2020-04-14 01:48:15,33.08,-16.33,60.8,63,40,14.99
229,Iqaluit,CA,2020-04-14 01:47:59,63.75,-68.51,15.8,78,90,6.91
230,Fortuna,US,2020-04-14 01:54:38,40.6,-124.16,66.0,62,1,12.75
231,Plettenberg Bay,ZA,2020-04-14 01:54:39,-34.05,23.37,57.67,70,2,7.18
232,Boa Vista,BR,2020-04-14 01:54:40,2.82,-60.67,84.2,48,79,8.05
233,Anadyr,RU,2020-04-14 01:54:40,64.75,177.48,17.6,78,75,4.47
234,Hambantota,LK,2020-04-14 01:54:41,6.12,81.12,82.72,78,8,7.94
235,Hovd,MN,2020-04-14 01:54:41,48.01,91.64,48.36,27,94,1.41
236,Surgut,RU,2020-04-14 01:54:42,61.25,73.42,33.8,74,100,8.95
237,Port Lincoln,AU,2020-04-14 01:54:23,-34.73,135.87,76.14,36,8,8.05
238,Ambilobe,MG,2020-04-14 01:54:43,-13.2,49.05,74.35,77,100,6.51
239,Esperance,AU,2020-04-14 01:54:44,-33.87,121.9,69.8,73,75,6.93
240,Talnakh,RU,2020-04-14 01:54:46,69.49,88.4,6.8,84,9,17.9
241,Bima,ID,2020-04-14 01:54:46,-8.47,118.72,89.64,61,60,1.66
242,Victoria,HK,2020-04-14 01:54:47,22.29,114.16,71.01,49,20,3.36
243,Battle Creek,US,2020-04-14 01:54:01,42.32,-85.18,37.4,47,1,18.34
244,General Pico,AR,2020-04-14 01:54:49,-35.66,-63.76,54.66,51,0,3.58
245,Torbay,CA,2020-04-14 01:54:49,47.67,-52.73,37.0,55,40,6.93
246,Thompson,CA,2020-04-14 01:54:50,55.74,-97.86,14.0,40,75,8.05
247,Manokwari,ID,2020-04-14 01:54:50,-0.87,134.08,83.75,74,51,3.91
248,Meulaboh,ID,2020-04-14 01:54:51,4.14,96.13,83.37,75,100,3.15
249,Saint-Augustin,CA,2020-04-14 01:54:51,51.23,-58.65,30.6,97,100,7.56
250,Matara,LK,2020-04-14 01:54:52,5.95,80.54,82.74,78,35,6.38
251,Kangaatsiaq,GL,2020-04-14 01:54:52,68.31,-53.46,25.92,96,100,22.21
252,Comodoro Rivadavia,AR,2020-04-14 01:54:54,-45.87,-67.5,57.2,50,67,12.75
253,Atambua,ID,2020-04-14 01:54:54,-9.11,124.89,81.77,72,56,3.0
254,Hay River,CA,2020-04-14 01:54:16,60.82,-115.8,30.2,54,75,6.93
255,Canelli,IT,2020-04-14 01:54:55,44.72,8.29,55.99,49,87,4.0
256,Xihe,CN,2020-04-14 01:54:56,31.69,113.47,68.7,44,96,14.32
257,Sibu,MY,2020-04-14 01:54:56,2.3,111.82,82.4,83,75,6.93
258,Matamoros,MX,2020-04-14 01:52:43,25.53,-103.25,89.6,4,75,11.41
259,Lulea,SE,2020-04-14 01:54:58,65.58,22.15,33.8,74,98,18.34
260,Katsuura,JP,2020-04-14 01:54:58,35.13,140.3,57.99,44,20,18.34
261,Sayansk,RU,2020-04-14 01:54:59,54.11,102.16,47.7,41,0,1.41
262,Gurinhem,BR,2020-04-14 01:55:00,-7.12,-35.42,78.8,88,90,2.53
263,Griffith,US,2020-04-14 01:55:00,41.53,-87.42,39.2,40,1,9.17
264,Garoua Boulai,CM,2020-04-14 01:52:01,5.88,14.55,68.74,62,56,1.61
265,Popova,RU,2020-04-14 01:55:01,42.96,131.72,51.8,23,29,4.47
266,Dingle,PH,2020-04-14 01:55:02,11.0,122.67,88.14,57,3,5.21
